word,reading,english_meaning,vietnamese_meaning,vietnamese_explanation,source,page,notes
その他,そのた,other / others,khác / những mục khác,Từ dùng để chỉ các mục hoặc nội dung khác không nằm trong những nhóm đã nêu trước đó.,筋肉リスト.pdf,1,
その他の筋肉はコースでは使用しませんが,そのたのきんにくはコースではしようしませんが,"Other muscles are not used in the course, but ...","Các cơ khác không được sử dụng trong khóa học, nhưng...","Cụm câu giải thích rằng những cơ không được đánh dấu có thể không được học chính trong khóa, dù vẫn có thể liên quan đến phạm vi kiểm tra.",筋肉リスト.pdf,1,
それ以外の筋肉は筆記試験で必要となります,それいがいのきんにくはひっきしけんでひつようとなります,The other muscles are required for the written exam.,Các cơ còn lại cần cho bài thi viết,Câu hướng dẫn học tập: những cơ ngoài nhóm chính vẫn cần được biết để làm bài thi viết.,STOTT PILATES解剖学資料.pdf,3,
つの基準面,つのきじゅんめん,reference planes (fragment),các mặt phẳng chuẩn,Mảnh câu nói về các mặt phẳng chuẩn dùng trong giải phẫu để mô tả hướng và chuyển động của cơ thể.,筋肉リスト.pdf,2,
の筋肉を扱います,のきんにくをあつかいます,covers/deals with the muscles (fragment),học / đề cập đến các cơ,Mảnh câu cho biết khóa học sẽ tập trung vào hoặc đề cập đến một nhóm cơ nhất định.,筋肉リスト.pdf,1,
アイソメトリック,アイソメトリック,isometric,co cơ đẳng trường,Kiểu co cơ trong đó cơ tạo lực nhưng chiều dài cơ và góc khớp gần như không thay đổi.,STOTT PILATES解剖学資料.pdf,1,
エキセントリック,エキセントリック,eccentric,co cơ ly tâm,"Kiểu co cơ khi cơ vẫn tạo lực nhưng dài ra, ví dụ khi từ từ hạ một vật nặng xuống.",STOTT PILATES解剖学資料.pdf,1,
コンセントリック,コンセントリック,concentric,co cơ hướng tâm,"Kiểu co cơ khi cơ ngắn lại để tạo chuyển động, ví dụ khi nâng tạ lên.",STOTT PILATES解剖学資料.pdf,1,
コースでは主に,コースではおもに,mainly in the course (fragment),chủ yếu trong khóa học,Mảnh câu dùng để chỉ những nội dung được ưu tiên hoặc tập trung nhiều nhất trong khóa học.,筋肉リスト.pdf,1,
ヒラメ筋,ひらめきん,soleus muscle,cơ dép,"Cơ nằm sâu ở bắp chân, hỗ trợ gấp gan bàn chân và rất quan trọng khi đứng, đi bộ và giữ thăng bằng.",STOTT PILATES解剖学資料.pdf,4,
マークは主要な筋肉で養成コースで必要です,マークはしゅようなきんにくでようせいコースでひつようです,The marked muscles are major muscles required in the training course.,Các cơ được đánh dấu là cơ chính cần cho khóa đào tạo,Câu chú thích cho biết những cơ có dấu đánh dấu là các cơ quan trọng cần học trong khóa.,STOTT PILATES解剖学資料.pdf,3,
三角筋,さんかくきん,deltoid muscle,cơ delta,"Cơ lớn phủ quanh vai; chức năng chính là nâng cánh tay sang bên, đồng thời hỗ trợ gấp và duỗi vai.",STOTT PILATES解剖学資料.pdf,3,
上双子筋と下双子筋,じょうそうしきんとかそうしきん,superior gemellus and inferior gemellus muscles,cơ sinh đôi trên và cơ sinh đôi dưới,"Hai cơ nhỏ sâu ở vùng mông, giúp xoay ngoài khớp háng và ổn định chỏm xương đùi.",STOTT PILATES解剖学資料.pdf,4,
上後鋸筋と下後鋸筋,じょうこうきょきんとかこうきょきん,serratus posterior superior and serratus posterior inferior muscles,cơ răng sau trên và cơ răng sau dưới,Hai cơ ở lưng liên quan đến cử động các xương sườn và hỗ trợ hô hấp.,STOTT PILATES解剖学資料.pdf,3,
上腕三頭筋,じょうわんさんとうきん,triceps brachii,cơ tam đầu cánh tay,"Cơ ở mặt sau cánh tay trên, có vai trò chính là duỗi khớp khuỷu.",STOTT PILATES解剖学資料.pdf,3,
上腕二頭筋,じょうわんにとうきん,biceps brachii,cơ nhị đầu cánh tay,"Cơ ở mặt trước cánh tay trên, giúp gấp khuỷu và ngửa cẳng tay.",STOTT PILATES解剖学資料.pdf,3,
上腕筋,じょうわんきん,brachialis muscle,cơ cánh tay,Cơ sâu ở mặt trước cánh tay trên; là một trong những cơ gấp khuỷu mạnh nhất.,STOTT PILATES解剖学資料.pdf,3,
上腕骨,じょうわんこつ,humerus,xương cánh tay,"Xương dài của cánh tay trên, nối khớp vai với khớp khuỷu.",STOTT PILATES解剖学資料.pdf,3,
上部,じょうぶ,upper part,phần trên,Chỉ phần nằm phía trên của một cấu trúc giải phẫu.,STOTT PILATES解剖学資料.pdf,3,
上頭斜筋と下頭斜筋,じょうとうしゃきんとかとうしゃきん,obliquus capitis superior and obliquus capitis inferior muscles,cơ chéo đầu trên và cơ chéo đầu dưới,"Hai cơ nhỏ sâu ở vùng dưới chẩm, hỗ trợ xoay, nghiêng và ổn định đầu.",STOTT PILATES解剖学資料.pdf,3,
下制,かせい,depression / downward movement,hạ xuống,"Chuyển động làm một cấu trúc đi xuống dưới, ví dụ hạ xương bả vai.",STOTT PILATES解剖学資料.pdf,2,
下半身,かはんしん,lower body,phần thân dưới,Khu vực cơ thể gồm vùng chậu và hai chi dưới.,STOTT PILATES解剖学資料.pdf,4,
下部繊維,かぶせんい,lower fibers,các sợi phần dưới,"Chỉ phần sợi cơ nằm ở vùng dưới của một cơ, thường có hướng kéo và chức năng riêng.",STOTT PILATES解剖学資料.pdf,3,
中斜角筋,ちゅうしゃかくきん,middle scalene muscle,cơ bậc thang giữa,"Cơ ở bên cổ, giúp nghiêng cổ và nâng xương sườn thứ nhất khi hít vào.",STOTT PILATES解剖学資料.pdf,3,
中臀筋,ちゅうでんきん,gluteus medius,cơ mông nhỡ,"Cơ ở mặt ngoài vùng mông, giúp dạng hông và giữ ổn định xương chậu khi đi bộ.",STOTT PILATES解剖学資料.pdf,4,
中部,ちゅうぶ,middle part,phần giữa,Chỉ phần trung tâm của một cấu trúc giải phẫu.,STOTT PILATES解剖学資料.pdf,3,
中間広筋,ちゅうかんこうきん,vastus intermedius,cơ rộng giữa,"Một phần của nhóm cơ tứ đầu đùi, nằm sâu dưới cơ thẳng đùi và giúp duỗi gối.",STOTT PILATES解剖学資料.pdf,4,
主動筋,しゅどうきん,prime mover / agonist,cơ chủ vận,Cơ đóng vai trò chính tạo ra một chuyển động cụ thể tại khớp.,STOTT PILATES解剖学資料.pdf,1,
