word,reading,english_meaning,source,page,notes
その他,そのた,other / others,筋肉リスト.pdf,1,
その他の筋肉はコースでは使用しませんが,そのたのきんにくはコースではしようしませんが,"Other muscles are not used in the course, but ...",筋肉リスト.pdf,1,
それ以外の筋肉は筆記試験で必要となります,それいがいのきんにくはひっきしけんでひつようとなります,The other muscles are required for the written exam.,STOTT PILATES解剖学資料.pdf,3,
つの基準面,つのきじゅんめん,reference planes (fragment),筋肉リスト.pdf,2,
の筋肉を扱います,のきんにくをあつかいます,covers/deals with the muscles (fragment),筋肉リスト.pdf,1,
アイソメトリック,アイソメトリック,isometric,STOTT PILATES解剖学資料.pdf,1,
エキセントリック,エキセントリック,eccentric,STOTT PILATES解剖学資料.pdf,1,
コンセントリック,コンセントリック,concentric,STOTT PILATES解剖学資料.pdf,1,
コースでは主に,コースではおもに,mainly in the course (fragment),筋肉リスト.pdf,1,
ヒラメ筋,ひらめきん,soleus muscle,STOTT PILATES解剖学資料.pdf,4,
マークは主要な筋肉で養成コースで必要です,マークはしゅようなきんにくでようせいコースでひつようです,The marked muscles are major muscles required in the training course.,STOTT PILATES解剖学資料.pdf,3,
三角筋,さんかくきん,deltoid muscle,STOTT PILATES解剖学資料.pdf,3,
上双子筋と下双子筋,じょうそうしきんとかそうしきん,superior gemellus and inferior gemellus muscles,STOTT PILATES解剖学資料.pdf,4,
上後鋸筋と下後鋸筋,じょうこうきょきんとかこうきょきん,serratus posterior superior and serratus posterior inferior muscles,STOTT PILATES解剖学資料.pdf,3,
上腕三頭筋,じょうわんさんとうきん,triceps brachii,STOTT PILATES解剖学資料.pdf,3,
上腕二頭筋,じょうわんにとうきん,biceps brachii,STOTT PILATES解剖学資料.pdf,3,
上腕筋,じょうわんきん,brachialis muscle,STOTT PILATES解剖学資料.pdf,3,
上腕骨,じょうわんこつ,humerus,STOTT PILATES解剖学資料.pdf,3,
上部,じょうぶ,upper part,STOTT PILATES解剖学資料.pdf,3,
上頭斜筋と下頭斜筋,じょうとうしゃきんとかとうしゃきん,obliquus capitis superior and obliquus capitis inferior muscles,STOTT PILATES解剖学資料.pdf,3,
下制,かせい,depression / downward movement,STOTT PILATES解剖学資料.pdf,2,
下半身,かはんしん,lower body,STOTT PILATES解剖学資料.pdf,4,
下部繊維,かぶせんい,lower fibers,STOTT PILATES解剖学資料.pdf,3,
中斜角筋,ちゅうしゃかくきん,middle scalene muscle,STOTT PILATES解剖学資料.pdf,3,
中臀筋,ちゅうでんきん,gluteus medius,STOTT PILATES解剖学資料.pdf,4,
中部,ちゅうぶ,middle part,STOTT PILATES解剖学資料.pdf,3,
中間広筋,ちゅうかんこうきん,vastus intermedius,STOTT PILATES解剖学資料.pdf,4,
